time,date_str,date,RATE,ACRR,DBZH,REFL-BT,all_vars,split,split_type
140000,20190215,2019-02-15,1,1,1,1,1,training,-
141500,20190215,2019-02-15,1,1,1,1,1,training,-
143000,20190215,2019-02-15,1,1,1,1,1,training,-
144500,20190215,2019-02-15,1,1,1,1,1,training,-
150000,20190215,2019-02-15,1,1,1,1,1,training,-
151500,20190215,2019-02-15,1,1,1,1,1,training,-
153000,20190215,2019-02-15,1,1,1,1,1,training,-
154500,20190215,2019-02-15,1,1,1,1,1,training,-
160000,20190215,2019-02-15,1,1,1,1,1,training,-
161500,20190215,2019-02-15,1,1,1,1,1,training,-
163000,20190215,2019-02-15,1,1,1,1,1,training,-
164500,20190215,2019-02-15,1,1,1,1,1,training,-
170000,20190215,2019-02-15,1,1,1,1,1,training,-
171500,20190215,2019-02-15,1,1,1,1,1,training,-
173000,20190215,2019-02-15,1,1,1,1,1,training,-
174500,20190215,2019-02-15,1,1,1,1,1,training,-
180000,20190215,2019-02-15,1,1,1,1,1,training,-
181500,20190215,2019-02-15,1,1,1,1,1,training,-
183000,20190215,2019-02-15,1,1,1,1,1,training,-
184500,20190215,2019-02-15,1,1,1,1,1,training,-
190000,20190215,2019-02-15,1,1,1,1,1,training,-
191500,20190215,2019-02-15,1,1,1,1,1,training,-
193000,20190215,2019-02-15,1,1,1,1,1,training,-
194500,20190215,2019-02-15,1,1,1,1,1,training,-
200000,20190215,2019-02-15,1,1,1,1,1,training,-
201500,20190215,2019-02-15,1,1,1,1,1,training,-
203000,20190215,2019-02-15,1,1,1,1,1,training,-
204500,20190215,2019-02-15,1,1,1,1,1,training,-
210000,20190215,2019-02-15,1,1,1,1,1,training,-
211500,20190215,2019-02-15,1,1,1,1,1,training,-
213000,20190215,2019-02-15,1,1,1,1,1,training,-
214500,20190215,2019-02-15,1,1,1,1,1,training,-
220000,20190215,2019-02-15,1,1,1,1,1,training,-
221500,20190215,2019-02-15,1,1,1,1,1,training,-
223000,20190215,2019-02-15,1,1,1,1,1,training,-
224500,20190215,2019-02-15,1,1,1,1,1,training,-
230000,20190215,2019-02-15,1,1,1,1,1,training,-
231500,20190215,2019-02-15,1,1,1,1,1,training,-
233000,20190215,2019-02-15,1,1,1,1,1,training,-
234500,20190215,2019-02-15,1,1,1,1,1,training,-
000000,20190216,2019-02-16,1,1,1,1,1,training,-
001500,20190216,2019-02-16,1,1,1,1,1,training,-
003000,20190216,2019-02-16,1,1,1,1,1,training,-
004500,20190216,2019-02-16,1,1,1,1,1,training,-
010000,20190216,2019-02-16,1,1,1,1,1,training,-
011500,20190216,2019-02-16,1,1,1,1,1,training,-
013000,20190216,2019-02-16,1,1,1,1,1,training,-
014500,20190216,2019-02-16,1,1,1,1,1,training,-
020000,20190216,2019-02-16,1,1,1,1,1,training,-
021500,20190216,2019-02-16,1,1,1,1,1,training,-
023000,20190216,2019-02-16,1,1,1,1,1,training,-
024500,20190216,2019-02-16,1,1,1,1,1,training,-
030000,20190216,2019-02-16,1,1,1,1,1,training,-
031500,20190216,2019-02-16,1,1,1,1,1,training,-
033000,20190216,2019-02-16,1,1,1,1,1,training,-
034500,20190216,2019-02-16,1,1,1,1,1,training,-
040000,20190216,2019-02-16,1,1,1,1,1,training,-
041500,20190216,2019-02-16,1,1,1,1,1,training,-
043000,20190216,2019-02-16,1,1,1,1,1,training,-
044500,20190216,2019-02-16,1,1,1,1,1,training,-
050000,20190216,2019-02-16,1,1,1,1,1,training,-
051500,20190216,2019-02-16,1,1,1,1,1,training,-
053000,20190216,2019-02-16,1,1,1,1,1,training,-
054500,20190216,2019-02-16,1,1,1,1,1,training,-
060000,20190216,2019-02-16,1,1,1,1,1,training,-
061500,20190216,2019-02-16,1,1,1,1,1,training,-
063000,20190216,2019-02-16,1,1,1,1,1,training,-
064500,20190216,2019-02-16,1,1,1,1,1,training,-
070000,20190216,2019-02-16,1,1,1,1,1,training,-
071500,20190216,2019-02-16,1,1,1,1,1,training,-
073000,20190216,2019-02-16,1,1,1,1,1,training,-
074500,20190216,2019-02-16,1,1,1,1,1,training,-
080000,20190216,2019-02-16,1,1,1,1,1,training,-
081500,20190216,2019-02-16,1,1,1,1,1,training,-
083000,20190216,2019-02-16,1,1,1,1,1,training,-
084500,20190216,2019-02-16,1,1,1,1,1,training,-
090000,20190216,2019-02-16,1,1,1,1,1,training,-
091500,20190216,2019-02-16,1,1,1,1,1,training,-
093000,20190216,2019-02-16,1,1,1,1,1,training,-
094500,20190216,2019-02-16,1,1,1,1,1,training,-
100000,20190216,2019-02-16,1,1,1,1,1,training,-
101500,20190216,2019-02-16,1,1,1,1,1,training,-
103000,20190216,2019-02-16,1,1,1,1,1,training,-
104500,20190216,2019-02-16,1,1,1,1,1,training,-
110000,20190216,2019-02-16,1,1,1,1,1,training,-
111500,20190216,2019-02-16,1,1,1,1,1,training,-
113000,20190216,2019-02-16,1,1,1,1,1,training,-
114500,20190216,2019-02-16,1,1,1,1,1,training,-
120000,20190216,2019-02-16,1,1,1,1,1,training,-
121500,20190216,2019-02-16,1,1,1,1,1,training,-
123000,20190216,2019-02-16,1,1,1,1,1,training,-
124500,20190216,2019-02-16,1,1,1,1,1,training,-
130000,20190216,2019-02-16,1,1,1,1,1,training,-
131500,20190216,2019-02-16,1,1,1,1,1,training,-
133000,20190216,2019-02-16,1,1,1,1,1,training,-
134500,20190216,2019-02-16,1,1,1,1,1,training,-
140000,20190216,2019-02-16,1,1,1,1,1,training,-
141500,20190216,2019-02-16,1,1,1,1,1,training,-
143000,20190216,2019-02-16,1,1,1,1,1,training,-
144500,20190216,2019-02-16,1,1,1,1,1,training,-
150000,20190216,2019-02-16,1,1,1,1,1,training,-
151500,20190216,2019-02-16,1,1,1,1,1,training,-
153000,20190216,2019-02-16,1,1,1,1,1,training,-
154500,20190216,2019-02-16,1,1,1,1,1,training,-
160000,20190216,2019-02-16,1,1,1,1,1,training,-
161500,20190216,2019-02-16,1,1,1,1,1,training,-
163000,20190216,2019-02-16,1,1,1,1,1,training,-
164500,20190216,2019-02-16,1,1,1,1,1,training,-
170000,20190216,2019-02-16,1,1,1,1,1,training,-
171500,20190216,2019-02-16,1,1,1,1,1,training,-
173000,20190216,2019-02-16,1,1,1,1,1,training,-
174500,20190216,2019-02-16,1,1,1,1,1,training,-
180000,20190216,2019-02-16,1,1,1,1,1,training,-
181500,20190216,2019-02-16,1,1,1,1,1,training,-
183000,20190216,2019-02-16,1,1,1,1,1,training,-
184500,20190216,2019-02-16,1,1,1,1,1,training,-
190000,20190216,2019-02-16,1,1,1,1,1,training,-
191500,20190216,2019-02-16,1,1,1,1,1,training,-
193000,20190216,2019-02-16,1,1,1,1,1,training,-
194500,20190216,2019-02-16,1,1,1,1,1,training,-
200000,20190216,2019-02-16,1,1,1,1,1,training,-
201500,20190216,2019-02-16,1,1,1,1,1,training,-
203000,20190216,2019-02-16,1,1,1,1,1,training,-
204500,20190216,2019-02-16,1,1,1,1,1,training,-
210000,20190216,2019-02-16,1,1,1,1,1,training,-
211500,20190216,2019-02-16,1,1,1,1,1,training,-
213000,20190216,2019-02-16,1,1,1,1,1,training,-
214500,20190216,2019-02-16,1,1,1,1,1,training,-
220000,20190216,2019-02-16,1,1,1,1,1,training,-
221500,20190216,2019-02-16,1,1,1,1,1,training,-
223000,20190216,2019-02-16,1,1,1,1,1,training,-
224500,20190216,2019-02-16,1,1,1,1,1,training,-
230000,20190216,2019-02-16,1,1,1,1,1,training,-
231500,20190216,2019-02-16,1,1,1,1,1,training,-
233000,20190216,2019-02-16,1,1,1,1,1,training,-
234500,20190216,2019-02-16,1,1,1,1,1,training,-
000000,20190217,2019-02-17,1,1,1,1,1,training,-
001500,20190217,2019-02-17,1,1,1,1,1,training,-
003000,20190217,2019-02-17,1,1,1,1,1,training,-
004500,20190217,2019-02-17,1,1,1,1,1,training,-
010000,20190217,2019-02-17,1,1,1,1,1,training,-
011500,20190217,2019-02-17,1,1,1,1,1,training,-
013000,20190217,2019-02-17,1,1,1,1,1,training,-
014500,20190217,2019-02-17,1,1,1,1,1,training,-
020000,20190217,2019-02-17,1,1,1,1,1,training,-
021500,20190217,2019-02-17,1,1,1,1,1,training,-
023000,20190217,2019-02-17,1,1,1,1,1,training,-
024500,20190217,2019-02-17,1,1,1,1,1,training,-
030000,20190217,2019-02-17,1,1,1,1,1,training,-
031500,20190217,2019-02-17,1,1,1,1,1,training,-
033000,20190217,2019-02-17,1,1,1,1,1,training,-
034500,20190217,2019-02-17,1,1,1,1,1,training,-
040000,20190217,2019-02-17,1,1,1,1,1,training,-
041500,20190217,2019-02-17,1,1,1,1,1,training,-
043000,20190217,2019-02-17,1,1,1,1,1,training,-
044500,20190217,2019-02-17,1,1,1,1,1,training,-
050000,20190217,2019-02-17,1,1,1,1,1,training,-
051500,20190217,2019-02-17,1,1,1,1,1,training,-
053000,20190217,2019-02-17,1,1,1,1,1,training,-
054500,20190217,2019-02-17,1,1,1,1,1,training,-
060000,20190217,2019-02-17,1,1,1,1,1,training,-
061500,20190217,2019-02-17,1,1,1,1,1,training,-
063000,20190217,2019-02-17,1,1,1,1,1,training,-
064500,20190217,2019-02-17,1,1,1,1,1,training,-
070000,20190217,2019-02-17,1,1,1,1,1,training,-
071500,20190217,2019-02-17,1,1,1,1,1,training,-
073000,20190217,2019-02-17,1,1,1,1,1,training,-
074500,20190217,2019-02-17,1,1,1,1,1,training,-
080000,20190217,2019-02-17,1,1,1,1,1,training,-
081500,20190217,2019-02-17,1,1,1,1,1,training,-
083000,20190217,2019-02-17,1,1,1,1,1,training,-
084500,20190217,2019-02-17,1,1,1,1,1,training,-
090000,20190217,2019-02-17,1,1,1,1,1,training,-
091500,20190217,2019-02-17,1,1,1,1,1,training,-
093000,20190217,2019-02-17,1,1,1,1,1,training,-
094500,20190217,2019-02-17,1,1,1,1,1,training,-
100000,20190217,2019-02-17,1,1,1,1,1,training,-
101500,20190217,2019-02-17,1,1,1,1,1,training,-
103000,20190217,2019-02-17,1,1,1,1,1,training,-
104500,20190217,2019-02-17,1,1,1,1,1,training,-
110000,20190217,2019-02-17,1,1,1,1,1,training,-
111500,20190217,2019-02-17,1,1,1,1,1,training,-
113000,20190217,2019-02-17,1,1,1,1,1,training,-
114500,20190217,2019-02-17,1,1,1,1,1,training,-
120000,20190217,2019-02-17,1,1,1,1,1,training,-
121500,20190217,2019-02-17,1,1,1,1,1,training,-
123000,20190217,2019-02-17,1,1,1,1,1,training,-
124500,20190217,2019-02-17,1,1,1,1,1,training,-
130000,20190217,2019-02-17,1,1,1,1,1,training,-
131500,20190217,2019-02-17,1,1,1,1,1,training,-
133000,20190217,2019-02-17,1,1,1,1,1,training,-
134500,20190217,2019-02-17,1,1,1,1,1,training,-
140000,20190217,2019-02-17,1,1,1,1,1,training,-
141500,20190217,2019-02-17,1,1,1,1,1,training,-
143000,20190217,2019-02-17,1,1,1,1,1,training,-
144500,20190217,2019-02-17,1,1,1,1,1,training,-
150000,20190217,2019-02-17,1,1,1,1,1,training,-
151500,20190217,2019-02-17,1,1,1,1,1,training,-
153000,20190217,2019-02-17,1,1,1,1,1,training,-
154500,20190217,2019-02-17,1,1,1,1,1,training,-
160000,20190217,2019-02-17,1,1,1,1,1,training,-
161500,20190217,2019-02-17,1,1,1,1,1,training,-
163000,20190217,2019-02-17,1,1,1,1,1,training,-
164500,20190217,2019-02-17,1,1,1,1,1,training,-
170000,20190217,2019-02-17,1,1,1,1,1,training,-
171500,20190217,2019-02-17,1,1,1,1,1,training,-
173000,20190217,2019-02-17,1,1,1,1,1,training,-
174500,20190217,2019-02-17,1,1,1,1,1,training,-
180000,20190217,2019-02-17,1,1,1,1,1,training,-
181500,20190217,2019-02-17,1,1,1,1,1,training,-
183000,20190217,2019-02-17,1,1,1,1,1,training,-
184500,20190217,2019-02-17,1,1,1,1,1,training,-
190000,20190217,2019-02-17,1,1,1,1,1,training,-
191500,20190217,2019-02-17,1,1,1,1,1,training,-
193000,20190217,2019-02-17,1,1,1,1,1,training,-
194500,20190217,2019-02-17,1,1,1,1,1,training,-
200000,20190217,2019-02-17,1,1,1,1,1,training,-
201500,20190217,2019-02-17,1,1,1,1,1,training,-
203000,20190217,2019-02-17,1,1,1,1,1,training,-
204500,20190217,2019-02-17,1,1,1,1,1,test,test_in
210000,20190217,2019-02-17,1,1,1,1,1,test,test_in
211500,20190217,2019-02-17,1,1,1,1,1,test,test_in
213000,20190217,2019-02-17,1,1,1,1,1,test,test_in
214500,20190217,2019-02-17,1,1,1,1,1,test,test_target
220000,20190217,2019-02-17,1,1,1,1,1,test,test_target
221500,20190217,2019-02-17,1,1,1,1,1,test,test_target
223000,20190217,2019-02-17,1,1,1,1,1,test,test_target
224500,20190217,2019-02-17,1,1,1,1,1,test,test_target
230000,20190217,2019-02-17,1,1,1,1,1,test,test_target
231500,20190217,2019-02-17,1,1,1,1,1,test,test_target
233000,20190217,2019-02-17,1,1,1,1,1,test,test_target
234500,20190217,2019-02-17,1,1,1,1,1,test,test_target
000000,20190218,2019-02-18,1,1,1,1,1,test,test_target
001500,20190218,2019-02-18,1,1,1,1,1,test,test_target
003000,20190218,2019-02-18,1,1,1,1,1,test,test_target
004500,20190218,2019-02-18,1,1,1,1,1,test,test_target
010000,20190218,2019-02-18,1,1,1,1,1,test,test_target
011500,20190218,2019-02-18,1,1,1,1,1,test,test_target
013000,20190218,2019-02-18,1,1,1,1,1,test,test_target
014500,20190218,2019-02-18,1,1,1,1,1,test,test_target
020000,20190218,2019-02-18,1,1,1,1,1,test,test_target
021500,20190218,2019-02-18,1,1,1,1,1,test,test_target
023000,20190218,2019-02-18,1,1,1,1,1,test,test_target
024500,20190218,2019-02-18,1,1,1,1,1,test,test_target
030000,20190218,2019-02-18,1,1,1,1,1,test,test_target
031500,20190218,2019-02-18,1,1,1,1,1,test,test_target
033000,20190218,2019-02-18,1,1,1,1,1,test,test_target
034500,20190218,2019-02-18,1,1,1,1,1,test,test_target
040000,20190218,2019-02-18,1,1,1,1,1,test,test_target
041500,20190218,2019-02-18,1,1,1,1,1,test,test_target
043000,20190218,2019-02-18,1,1,1,1,1,test,test_target
044500,20190218,2019-02-18,1,1,1,1,1,test,test_target
050000,20190218,2019-02-18,1,1,1,1,1,test,test_target
051500,20190218,2019-02-18,1,1,1,1,1,test,test_target
053000,20190218,2019-02-18,1,1,1,1,1,test,test_target
054500,20190218,2019-02-18,1,1,1,1,1,test,test_buffer
060000,20190218,2019-02-18,1,1,1,1,1,test,test_buffer
061500,20190218,2019-02-18,1,1,1,1,1,test,test_buffer
063000,20190218,2019-02-18,1,1,1,1,1,test,test_buffer
064500,20190218,2019-02-18,1,1,1,1,1,test,test_buffer
070000,20190218,2019-02-18,1,1,1,1,1,test,test_buffer
071500,20190218,2019-02-18,1,1,1,1,1,test,test_buffer
073000,20190218,2019-02-18,1,1,1,1,1,test,test_buffer
074500,20190218,2019-02-18,1,1,1,1,1,test,test_buffer
080000,20190218,2019-02-18,1,1,1,1,1,test,test_buffer
081500,20190218,2019-02-18,1,1,1,1,1,test,test_buffer
083000,20190218,2019-02-18,1,1,1,1,1,test,test_buffer
084500,20190218,2019-02-18,1,1,1,1,1,test,test_buffer
090000,20190218,2019-02-18,1,1,1,1,1,test,test_buffer
091500,20190218,2019-02-18,1,1,1,1,1,test,test_buffer
093000,20190218,2019-02-18,1,1,1,1,1,test,test_buffer
094500,20190218,2019-02-18,1,1,1,1,1,test,test_buffer
100000,20190218,2019-02-18,1,1,1,1,1,test,test_buffer
101500,20190218,2019-02-18,1,1,1,1,1,test,test_buffer
103000,20190218,2019-02-18,1,1,1,1,1,test,test_buffer
104500,20190218,2019-02-18,1,1,1,1,1,test,test_buffer
110000,20190218,2019-02-18,1,1,1,1,1,test,test_buffer
111500,20190218,2019-02-18,1,1,1,1,1,test,test_buffer
113000,20190218,2019-02-18,1,1,1,1,1,test,test_buffer
114500,20190218,2019-02-18,1,1,1,1,1,test,test_buffer
120000,20190218,2019-02-18,1,1,1,1,1,test,test_buffer
121500,20190218,2019-02-18,1,1,1,1,1,test,test_buffer
123000,20190218,2019-02-18,1,1,1,1,1,test,test_buffer
124500,20190218,2019-02-18,1,1,1,1,1,test,test_buffer
130000,20190218,2019-02-18,1,1,1,1,1,test,test_buffer
131500,20190218,2019-02-18,1,1,1,1,1,test,test_buffer
133000,20190218,2019-02-18,1,1,1,1,1,test,test_buffer
134500,20190218,2019-02-18,1,1,1,1,1,training,-
140000,20190218,2019-02-18,1,1,1,1,1,training,-
141500,20190218,2019-02-18,1,1,1,1,1,training,-
143000,20190218,2019-02-18,1,1,1,1,1,training,-
144500,20190218,2019-02-18,1,1,1,1,1,training,-
150000,20190218,2019-02-18,1,1,1,1,1,training,-
151500,20190218,2019-02-18,1,1,1,1,1,training,-
153000,20190218,2019-02-18,1,1,1,1,1,training,-
154500,20190218,2019-02-18,1,1,1,1,1,training,-
160000,20190218,2019-02-18,1,1,1,1,1,training,-
161500,20190218,2019-02-18,1,1,1,1,1,training,-
163000,20190218,2019-02-18,1,1,1,1,1,training,-
164500,20190218,2019-02-18,1,1,1,1,1,training,-
170000,20190218,2019-02-18,1,1,1,1,1,training,-
171500,20190218,2019-02-18,1,1,1,1,1,training,-
173000,20190218,2019-02-18,1,1,1,1,1,training,-
174500,20190218,2019-02-18,1,1,1,1,1,training,-
180000,20190218,2019-02-18,1,1,1,1,1,training,-
181500,20190218,2019-02-18,1,1,1,1,1,training,-
183000,20190218,2019-02-18,1,1,1,1,1,training,-
184500,20190218,2019-02-18,1,1,1,1,1,training,-
190000,20190218,2019-02-18,1,1,1,1,1,training,-
191500,20190218,2019-02-18,1,1,1,1,1,heldout,heldout_in
193000,20190218,2019-02-18,1,1,1,1,1,heldout,heldout_in
194500,20190218,2019-02-18,1,1,1,1,1,heldout,heldout_in
200000,20190218,2019-02-18,1,1,1,1,1,heldout,heldout_in
201500,20190218,2019-02-18,1,1,1,1,1,heldout,heldout_target
203000,20190218,2019-02-18,1,1,1,1,1,heldout,heldout_target
204500,20190218,2019-02-18,1,1,1,1,1,heldout,heldout_target
210000,20190218,2019-02-18,1,1,1,1,1,heldout,heldout_target
211500,20190218,2019-02-18,1,1,1,1,1,heldout,heldout_target
213000,20190218,2019-02-18,1,1,1,1,1,heldout,heldout_target
214500,20190218,2019-02-18,1,1,1,1,1,heldout,heldout_target
220000,20190218,2019-02-18,1,1,1,1,1,heldout,heldout_target
221500,20190218,2019-02-18,1,1,1,1,1,heldout,heldout_target
223000,20190218,2019-02-18,1,1,1,1,1,heldout,heldout_target
224500,20190218,2019-02-18,1,1,1,1,1,heldout,heldout_target
230000,20190218,2019-02-18,1,1,1,1,1,heldout,heldout_target
231500,20190218,2019-02-18,1,1,1,1,1,heldout,heldout_target
233000,20190218,2019-02-18,1,1,1,1,1,heldout,heldout_target
234500,20190218,2019-02-18,1,1,1,1,1,heldout,heldout_target
000000,20190219,2019-02-19,1,1,1,1,1,heldout,heldout_target
001500,20190219,2019-02-19,1,1,1,1,1,heldout,heldout_target
003000,20190219,2019-02-19,1,1,1,1,1,heldout,heldout_target
004500,20190219,2019-02-19,1,1,1,1,1,heldout,heldout_target
010000,20190219,2019-02-19,1,1,1,1,1,heldout,heldout_target
011500,20190219,2019-02-19,1,1,1,1,1,heldout,heldout_target
013000,20190219,2019-02-19,1,1,1,1,1,heldout,heldout_target
014500,20190219,2019-02-19,1,1,1,1,1,heldout,heldout_target
020000,20190219,2019-02-19,1,1,1,1,1,heldout,heldout_target
021500,20190219,2019-02-19,1,1,1,1,1,heldout,heldout_target
023000,20190219,2019-02-19,1,1,1,1,1,heldout,heldout_target
024500,20190219,2019-02-19,1,1,1,1,1,heldout,heldout_target
030000,20190219,2019-02-19,1,1,1,1,1,heldout,heldout_target
031500,20190219,2019-02-19,1,1,1,1,1,heldout,heldout_target
033000,20190219,2019-02-19,1,1,1,1,1,heldout,heldout_target
034500,20190219,2019-02-19,1,1,1,1,1,heldout,heldout_target
040000,20190219,2019-02-19,1,1,1,1,1,heldout,heldout_target
041500,20190219,2019-02-19,1,1,1,1,1,heldout,heldout_buffer
043000,20190219,2019-02-19,1,1,1,1,1,heldout,heldout_buffer
044500,20190219,2019-02-19,1,1,1,1,1,heldout,heldout_buffer
050000,20190219,2019-02-19,1,1,1,1,1,heldout,heldout_buffer
051500,20190219,2019-02-19,1,1,1,1,1,heldout,heldout_buffer
053000,20190219,2019-02-19,1,1,1,1,1,heldout,heldout_buffer
054500,20190219,2019-02-19,1,1,1,1,1,heldout,heldout_buffer
060000,20190219,2019-02-19,1,1,1,1,1,heldout,heldout_buffer
061500,20190219,2019-02-19,1,1,1,1,1,heldout,heldout_buffer
063000,20190219,2019-02-19,1,1,1,1,1,heldout,heldout_buffer
064500,20190219,2019-02-19,1,1,1,1,1,heldout,heldout_buffer
070000,20190219,2019-02-19,1,1,1,1,1,heldout,heldout_buffer
071500,20190219,2019-02-19,1,1,1,1,1,heldout,heldout_buffer
073000,20190219,2019-02-19,1,1,1,1,1,heldout,heldout_buffer
074500,20190219,2019-02-19,1,1,1,1,1,heldout,heldout_buffer
080000,20190219,2019-02-19,1,1,1,1,1,heldout,heldout_buffer
081500,20190219,2019-02-19,1,1,1,1,1,heldout,heldout_buffer
083000,20190219,2019-02-19,1,1,1,1,1,heldout,heldout_buffer
084500,20190219,2019-02-19,1,1,1,1,1,heldout,heldout_buffer
090000,20190219,2019-02-19,1,1,1,1,1,heldout,heldout_buffer
091500,20190219,2019-02-19,1,1,1,1,1,heldout,heldout_buffer
093000,20190219,2019-02-19,1,1,1,1,1,heldout,heldout_buffer
094500,20190219,2019-02-19,1,1,1,1,1,heldout,heldout_buffer
100000,20190219,2019-02-19,1,1,1,1,1,heldout,heldout_buffer
101500,20190219,2019-02-19,1,1,1,1,1,heldout,heldout_buffer
103000,20190219,2019-02-19,1,1,1,1,1,heldout,heldout_buffer
104500,20190219,2019-02-19,1,1,1,1,1,heldout,heldout_buffer
110000,20190219,2019-02-19,1,1,1,1,1,heldout,heldout_buffer
111500,20190219,2019-02-19,1,1,1,1,1,heldout,heldout_buffer
113000,20190219,2019-02-19,1,1,1,1,1,heldout,heldout_buffer
114500,20190219,2019-02-19,1,1,1,1,1,heldout,heldout_buffer
120000,20190219,2019-02-19,1,1,1,1,1,heldout,heldout_buffer
121500,20190219,2019-02-19,1,1,1,1,1,training,-
123000,20190219,2019-02-19,1,1,1,1,1,training,-
124500,20190219,2019-02-19,1,1,1,1,1,training,-
130000,20190219,2019-02-19,1,1,1,1,1,training,-
131500,20190219,2019-02-19,1,1,1,1,1,training,-
133000,20190219,2019-02-19,1,1,1,1,1,training,-
134500,20190219,2019-02-19,1,1,1,1,1,training,-
140000,20190219,2019-02-19,1,1,1,1,1,training,-
141500,20190219,2019-02-19,1,1,1,1,1,training,-
143000,20190219,2019-02-19,1,1,1,1,1,training,-
144500,20190219,2019-02-19,1,1,1,1,1,training,-
150000,20190219,2019-02-19,1,1,1,1,1,training,-
151500,20190219,2019-02-19,1,1,1,1,1,training,-
153000,20190219,2019-02-19,1,1,1,1,1,training,-
154500,20190219,2019-02-19,1,1,1,1,1,training,-
160000,20190219,2019-02-19,1,1,1,1,1,training,-
161500,20190219,2019-02-19,1,1,1,1,1,training,-
163000,20190219,2019-02-19,1,1,1,1,1,training,-
164500,20190219,2019-02-19,1,1,1,1,1,training,-
170000,20190219,2019-02-19,1,1,1,1,1,training,-
171500,20190219,2019-02-19,1,1,1,1,1,training,-
173000,20190219,2019-02-19,1,1,1,1,1,training,-
174500,20190219,2019-02-19,1,1,1,1,1,training,-
180000,20190219,2019-02-19,1,1,1,1,1,training,-
181500,20190219,2019-02-19,1,1,1,1,1,training,-
183000,20190219,2019-02-19,1,1,1,1,1,training,-
184500,20190219,2019-02-19,1,1,1,1,1,training,-
190000,20190219,2019-02-19,1,1,1,1,1,training,-
191500,20190219,2019-02-19,1,1,1,1,1,training,-
193000,20190219,2019-02-19,1,1,1,1,1,training,-
194500,20190219,2019-02-19,1,1,1,1,1,training,-
200000,20190219,2019-02-19,1,1,1,1,1,training,-
201500,20190219,2019-02-19,1,1,1,1,1,training,-
203000,20190219,2019-02-19,1,1,1,1,1,training,-
204500,20190219,2019-02-19,1,1,1,1,1,training,-
210000,20190219,2019-02-19,1,1,1,1,1,training,-
211500,20190219,2019-02-19,1,1,1,1,1,training,-
213000,20190219,2019-02-19,1,1,1,1,1,training,-
214500,20190219,2019-02-19,1,1,1,1,1,training,-
220000,20190219,2019-02-19,1,1,1,1,1,training,-
